time_points	TBX3	GATA5	ZNF394	CDH17	XRCC2	CD93	OSR2	CREB5	CD19	RAD51
0	0.6137	0.095433	0.28158	0.6577	0.21363	0.39522	0.21996	0.57119	0.68434	0.68164
50	0.59239	0.070416	0.28963	0.63491	0.25568	0.33362	0.17066	0.7646	0.64087	0.62013
100	0.58684	0.088044	0.1936	0.58463	0.13155	0.38495	0.12132	0.70724	0.81663	0.70475
150	0.62933	0.11499	0.21864	0.45097	0.16871	0.37366	0.078681	0.69708	0.80382	0.69257
200	0.51702	0.09905	0.21376	0.43336	0.17723	0.38346	0.12429	0.79017	0.75636	0.72866
250	0.47096	0.11599	0.28922	0.38984	0.23651	0.40001	0.13232	0.6791	0.70908	0.82495
300	0.627	0.080276	0.29975	0.43842	0.20658	0.39122	0.079275	0.63225	0.66411	0.72803
350	0.52847	0.10429	0.25731	0.37795	0.14843	0.23496	0.1492	0.79283	0.75967	0.71335
400	0.51109	0.14823	0.21962	0.34946	0.12358	0.42135	0.11585	0.67404	0.71454	0.73747
450	0.4883	0.11534	0.3025	0.42115	0.23657	0.45177	0.13502	0.64848	0.71768	0.68723
500	0.64336	0.11813	0.32459	0.45137	0.24875	0.30757	0.60423	0.70926	0.67282	0.6264
550	0.61718	0.1228	0.30602	0.63887	0.14479	0.38234	0.65193	0.8569	0.83283	0.6103
600	0.80244	0.080487	0.39873	0.61343	0.15442	0.34155	0.67911	0.72225	0.69305	0.61091
650	0.78045	0.087122	0.35949	0.68015	0.15784	0.34023	0.50998	0.70693	0.64553	0.72327
700	0.82903	0.099634	0.44073	0.66144	0.0912	0.30145	0.53125	0.63745	0.68982	0.59494
