time_points	TBX3	GATA5	ZNF394	CDH17	XRCC2	CD93	OSR2	CREB5	CD19	RAD51
0	0.26701	0.0066399	0.41201	0.6331	0.16013	0.31609	0.38799	0.31254	0.84054	0.75259
50	0.14956	0.0002031	0.31627	0.63881	0.35275	0.41215	0.53719	0.22071	0.78473	0.63081
100	0.12586	7.26e-05	0.34445	0.53329	0.58289	0.45617	0.58546	0.16416	0.68648	0.66034
150	0.15037	0.0007181	0.36012	0.48702	0.6474	0.51605	0.47156	0.11388	0.75149	0.72205
200	0.11473	0.0010901	0.25149	0.38166	0.5962	0.58494	0.56169	0.087584	0.7451	0.92153
250	0.11369	0.0006993	0.41302	0.4028	0.72061	0.69623	0.58289	0.10476	0.73465	0.612
300	0.10749	0.0006402	0.51445	0.45555	0.61109	0.61881	0.56996	0.14947	0.7261	0.70346
350	0.091622	2.16e-05	0.30464	0.41845	0.70494	0.63408	0.57052	0.13454	0.70727	0.70371
400	0.070437	0.0001071	0.43818	0.43982	0.60329	0.48937	0.51824	0.14454	0.72453	0.69008
450	0.10845	2.43e-05	0.42471	0.40814	0.60654	0.59122	0.52549	0.1195	0.77966	0.72141
